"id","statistic","value","unit","formatted","as_of","topic","confidence","context","primary_source_publisher","primary_source_title","primary_source_url","primary_source_year","sources_json","report_urls","trend_note"
"recruiter-call-time","Recruiter call time per week","286","","286","Q1 2026","People Analytics","verified","Recruiter call time hit 286 minutes per week, the highest on record and double the level of early 2024, a sign of high-touch hiring effort.","American Staffing Association","Staffing Productivity Report","https://americanstaffing.net/posts/2026/06/04/staffing-productivity-report","","[{""id"":""american-staffing-association-18wdr"",""publisher"":""American Staffing Association"",""title"":""Staffing Productivity Report"",""url"":""https://americanstaffing.net/posts/2026/06/04/staffing-productivity-report""}]","https://airecruiter.co/blog/agency-benchmark-q2-2026","Doubled since Q1 2024."
"highly-ai-exposed-entry-level-postings-d","Highly AI-exposed entry-level postings decline","40","%","40%","Jan 2023-Aug 2025","Hiring Volume","reported","The most-cited number in the 2026 entry-level debate, showing the slowdown was concentrated where AI can do the work.","Revelio Labs","Is AI Responsible for the Rise in Entry-Level Unemployment?","https://www.reveliolabs.com/news/macro/is-ai-responsible-for-the-rise-in-entry-level-unemployment","2025","[{""id"":""revelio-labs-cjk2q"",""publisher"":""Revelio Labs"",""title"":""Is AI Responsible for the Rise in Entry-Level Unemployment?"",""url"":""https://www.reveliolabs.com/news/macro/is-ai-responsible-for-the-rise-in-entry-level-unemployment"",""year"":""2025""}]","https://airecruiter.co/blog/entry-level-hiring-collapse-ai-2026","vs a 33% decline for low-exposed entry-level roles"
"entry-level-demand-drop-per-10pt-rise-in","Entry-level demand drop per 10pt rise in AI exposure","11","%","11%","Jan 2023-Aug 2025","AI in Hiring","reported","Revelio's controlled regression isolates the exposure effect at the entry level, holding industry and time trend constant.","Revelio Labs","Is AI Responsible for the Rise in Entry-Level Unemployment?","https://www.reveliolabs.com/news/macro/is-ai-responsible-for-the-rise-in-entry-level-unemployment","2025","[{""id"":""revelio-labs-cjk2q"",""publisher"":""Revelio Labs"",""title"":""Is AI Responsible for the Rise in Entry-Level Unemployment?"",""url"":""https://www.reveliolabs.com/news/macro/is-ai-responsible-for-the-rise-in-entry-level-unemployment"",""year"":""2025""}]","https://airecruiter.co/blog/entry-level-hiring-collapse-ai-2026","vs a 7% increase in non-entry-level demand for the same exposure rise"
"relative-employment-decline-for-ai-expos","Relative employment decline for AI-exposed workers 22-25","16","%","16%","2025","Talent Supply","reported","Stanford's ADP payroll analysis shows the youngest cohort in the most AI-exposed occupations fell relative to older colleagues in identical roles.","Stanford Digital Economy Lab","Canaries in the Coal Mine: Six Facts About the Recent Employment Effects of Artificial Intelligence","https://digitaleconomy.stanford.edu/publication/canaries-in-the-coal-mine-six-facts-about-the-recent-employment-effects-of-artificial-intelligence","2025","[{""id"":""stanford-digital-economy-lab-1r8jb"",""publisher"":""Stanford Digital Economy Lab"",""title"":""Canaries in the Coal Mine: Six Facts About the Recent Employment Effects of Artificial Intelligence"",""url"":""https://digitaleconomy.stanford.edu/publication/canaries-in-the-coal-mine-six-facts-about-the-recent-employment-effects-of-artificial-intelligence"",""year"":""2025""}]","https://airecruiter.co/blog/entry-level-hiring-collapse-ai-2026","as low as 13% in some specifications; older workers in same occupations stable or growing"
"recent-college-grad-unemployment-vs-4-4-","Recent college grad unemployment vs 4.4% overall","5.5","%","5.5%","March 2026","Talent Supply","reported","The historical college advantage has reversed: recent grads now carry higher unemployment than the broader workforce.","SHRM","Labor Force Snapshot: Recent College Graduates in the US Labor Force","https://www.shrm.org/topics-tools/research/labor-force-snapshot-recent-college-graduates-us-labor-force","2026","[{""id"":""shrm-1l12y"",""publisher"":""SHRM"",""title"":""Labor Force Snapshot: Recent College Graduates in the US Labor Force"",""url"":""https://www.shrm.org/topics-tools/research/labor-force-snapshot-recent-college-graduates-us-labor-force"",""year"":""2026""}]","https://airecruiter.co/blog/entry-level-hiring-collapse-ai-2026","a 1.1-point gap above the 4.4% overall rate"
"computer-science-recent-grad-unemploymen","Computer science recent-grad unemployment rate","7","%","7%","2026","Talent Supply","reported","Among the highest of any field, yet CS grads land degree-appropriate roles far more reliably (underemployment near 19%).","Federal Reserve Bank of New York","The Labor Market for Recent College Graduates","https://www.newyorkfed.org/research/college-labor-market","2026","[{""id"":""vnexpress-ny-fed-data-xzq8q"",""publisher"":""Federal Reserve Bank of New York"",""title"":""The Labor Market for Recent College Graduates"",""url"":""https://www.newyorkfed.org/research/college-labor-market"",""year"":""2026""}]","https://airecruiter.co/blog/entry-level-hiring-collapse-ai-2026","underemployment near 19% vs 41.5% overall recent-grad figure"
"applications-per-tech-internship-posting","Applications per tech internship posting, 2024-25 cycle","273","","273","2025","Talent Supply","reported","A measure of funnel congestion pushing employers toward automated screening at the first cut.","CNBC","Applying for Internships Is Nearly Twice as Competitive as Last Year, Says New Report","https://www.cnbc.com/2025/02/21/applying-for-internships-is-nearly-twice-as-competitive-as-last-year-says-new-report.html","2025","[{""id"":""cnbc-8v3ra"",""publisher"":""CNBC"",""title"":""Applying for Internships Is Nearly Twice as Competitive as Last Year, Says New Report"",""url"":""https://www.cnbc.com/2025/02/21/applying-for-internships-is-nearly-twice-as-competitive-as-last-year-says-new-report.html"",""year"":""2025""}]","https://airecruiter.co/blog/entry-level-hiring-collapse-ai-2026",""
"projected-starting-salary-rise-for-compu","Projected starting-salary rise for computer science grads","6.9","%","6.9%","2026 (projected)","Talent Supply","modeled","Rising pay for fewer seats is the wage-side fingerprint of a quality shift, not a demand collapse.","NACE","Class of 2026 Salary Projections Are Promising","https://www.naceweb.org/job-market/compensation/class-of-2026-salary-projections-are-promising","2026","[{""id"":""nace-i0sw2"",""publisher"":""NACE"",""title"":""Class of 2026 Salary Projections Are Promising"",""url"":""https://www.naceweb.org/job-market/compensation/class-of-2026-salary-projections-are-promising"",""year"":""2026""}]","https://airecruiter.co/blog/entry-level-hiring-collapse-ai-2026","from +3.1% for engineering; social sciences the only decline at -1.7%"
"grads-22-27-share-of-unemployment-rise-s","Grads 22-27 share of unemployment rise since mid-2023","12","%","12%","mid-2023 to 2026","Talent Supply","reported","Bachelor's grads aged 22-27 are only ~5% of the workforce but contributed a disproportionate share of the unemployment rise.","CBS News","Rising number of college grads are unemployed, new research shows","https://www.cbsnews.com/news/college-graduate-unemployed-technology-artificial-intelligence/","2025","[{""id"":""fortune-7qkhq"",""publisher"":""CBS News"",""title"":""Rising number of college grads are unemployed, new research shows"",""url"":""https://www.cbsnews.com/news/college-graduate-unemployed-technology-artificial-intelligence/"",""year"":""2025""}]","https://airecruiter.co/blog/entry-level-hiring-collapse-ai-2026","while making up only about 5% of the total workforce"
"remote-work-share-of-young-grad-unemploy","Remote work share of young-grad unemployment rise","64","%","64%","2026","Talent Supply","reported","A separate non-AI channel that shrinks the residual available for AI to explain in the youth-unemployment rise.","CNBC","Remote Work, Youth Unemployment, New York Fed","https://www.cnbc.com/2026/06/01/remote-work-youth-unemployment-new-york-fed.html","2026","[{""id"":""cnbc-dmajc"",""publisher"":""CNBC"",""title"":""Remote Work, Youth Unemployment, New York Fed"",""url"":""https://www.cnbc.com/2026/06/01/remote-work-youth-unemployment-new-york-fed.html"",""year"":""2026""}]","https://airecruiter.co/blog/entry-level-hiring-collapse-ai-2026",""
"us-layoffs-in-2025-citing-ai-as-a-factor","US layoffs in 2025 citing AI as a factor","55000","","55,000","2025","Hiring Volume","reported","Small against total annual separations in the millions, supporting skeptics on raw layoffs; the mechanism works through frozen hiring not firing.","CNBC","AI Job Cuts: Amazon, Microsoft and More Cite AI for 2025 Layoffs","https://www.cnbc.com/2025/12/21/ai-job-cuts-amazon-microsoft-and-more-cite-ai-for-2025-layoffs.html","2025","[{""id"":""cnbc-36g21"",""publisher"":""CNBC"",""title"":""AI Job Cuts: Amazon, Microsoft and More Cite AI for 2025 Layoffs"",""url"":""https://www.cnbc.com/2025/12/21/ai-job-cuts-amazon-microsoft-and-more-cite-ai-for-2025-layoffs.html"",""year"":""2025""}]","https://airecruiter.co/blog/entry-level-hiring-collapse-ai-2026","attribution contested and self-serving"
"new-grad-share-of-big-tech-new-hires","New-grad share of Big Tech new hires","7","%","7%","2024","Hiring Volume","reported","Down about 25% from 2023 and more than 50% below the pre-pandemic 2019 level of roughly 15%.","SignalFire","SignalFire State of Talent Report 2025","https://www.signalfire.com/blog/signalfire-state-of-talent-report-2025","2025","[{""id"":""signalfire-1kz5a"",""publisher"":""SignalFire"",""title"":""SignalFire State of Talent Report 2025"",""url"":""https://www.signalfire.com/blog/signalfire-state-of-talent-report-2025"",""year"":""2025""}]","https://airecruiter.co/blog/entry-level-hiring-collapse-ai-2026","down from roughly 15% in 2019 and 9% in 2023"
"ai-and-machine-learning-hiring-growth-ye","AI and machine-learning hiring growth year over year","88","%","88%","2025","Hiring Volume","reported","Demand did not vanish so much as reallocate up the skill curve, even as overall entry-level tech hiring fell sharply.","Ravio","AI compensation and talent trends 2026","https://ravio.com/blog/ai-compensation-and-talent-trends","2026","[{""id"":""ravio-comp-trends-2026"",""publisher"":""Ravio"",""title"":""AI compensation and talent trends 2026"",""url"":""https://ravio.com/blog/ai-compensation-and-talent-trends"",""year"":""2026""}]","https://airecruiter.co/blog/entry-level-hiring-collapse-ai-2026",""
"ai-related-share-of-us-job-postings","AI-related share of US job postings","6.3","%","6.3%","August 2026","AI in Hiring","reported","Well past the prior 3.3% peak in 2022, showing AI-building work climbing as entry-level demand falls.","Indeed Hiring Lab","US Labor Market Snapshot August 2026","https://hiringlab.indeed.com/2026/08/24/us-labor-market-snapshot-august-2026/","2026","[{""id"":""indeed-hiring-lab-1xwku"",""publisher"":""Indeed Hiring Lab"",""title"":""US Labor Market Snapshot August 2026"",""url"":""https://hiringlab.indeed.com/2026/08/24/us-labor-market-snapshot-august-2026/"",""year"":""2026""}]","https://airecruiter.co/blog/entry-level-hiring-collapse-ai-2026","up from the prior 3.3% peak in 2022"
"entry-level-jobs-now-requiring-ai-skills","Entry-level jobs now requiring AI skills","35","%","35%","2026","AI in Hiring","reported","The AI-fluency requirement is the clearest fingerprint of the entry-level role being redesigned around capability.","CNBC Select","Class of 2026: Hiring Stats and AI Trends","https://www.cnbc.com/select/class-of-2026-hiring-stats-and-ai-trends","2026","[{""id"":""cnbc-select-1qhl4"",""publisher"":""CNBC Select"",""title"":""Class of 2026: Hiring Stats and AI Trends"",""url"":""https://www.cnbc.com/select/class-of-2026-hiring-stats-and-ai-trends"",""year"":""2026""}]","https://airecruiter.co/blog/entry-level-hiring-collapse-ai-2026",""
"salary-premium-for-postings-requiring-ai","Salary premium for postings requiring AI skills","28","%","28%","2025","Skills & Mobility","reported","About $18,000; AI skills now appear in ~2.5% of US postings, up 55% year over year and 297% over a decade.","Lightcast","Beyond the Buzz (Press Release, 2025-07-23)","https://lightcast.io/resources/blog/beyond-the-buzz-press-release-2025-07-23","2025","[{""id"":""lightcast-1f1ve"",""publisher"":""Lightcast"",""title"":""Beyond the Buzz (Press Release, 2025-07-23)"",""url"":""https://lightcast.io/resources/blog/beyond-the-buzz-press-release-2025-07-23"",""year"":""2025""}]","https://airecruiter.co/blog/entry-level-hiring-collapse-ai-2026","AI-skill mentions up 55% year over year and 297% over a decade"
"entry-level-software-it-postings-requiri","US tech postings requiring 5+ years of experience","42","%","42%","2025","Talent Supply","reported","The rising experience bar makes 'entry-level' a misnomer and pushes the genuine entry point off the formal ladder.","Indeed Hiring Lab","Experience Requirements Have Tightened Amid the Tech Hiring Freeze","https://www.hiringlab.org/2025/07/30/experience-requirements-have-tightened-amid-the-tech-hiring-freeze/","2025","[{""id"":""indeed-hiring-lab-exp-2025"",""publisher"":""Indeed Hiring Lab"",""title"":""Experience Requirements Have Tightened Amid the Tech Hiring Freeze"",""url"":""https://www.hiringlab.org/2025/07/30/experience-requirements-have-tightened-amid-the-tech-hiring-freeze/"",""year"":""2025""}]","https://airecruiter.co/blog/entry-level-hiring-collapse-ai-2026","Up from 37% in Q2 2022; share open to 2-4 years fell from 46% to 40%."
"projected-rise-in-class-of-2026-new-grad","Projected rise in Class-of-2026 new-grad hiring","5.6","%","5.6%","2026 (projected)","Hiring Volume","modeled","A sharp intentions upgrade from +1.6% projected the previous fall, concentrated in large AI-exposed firms.","NACE","Employers Expect to Hire 5.6 Percent More New College Graduates This Year","https://www.naceweb.org/talent-acquisition/trends-and-predictions/employers-expect-to-hire-5-point-6-percent-more-new-college-graduates-this-year","2026","[{""id"":""nace-rvz5b"",""publisher"":""NACE"",""title"":""Employers Expect to Hire 5.6 Percent More New College Graduates This Year"",""url"":""https://www.naceweb.org/talent-acquisition/trends-and-predictions/employers-expect-to-hire-5-point-6-percent-more-new-college-graduates-this-year"",""year"":""2026""}]","https://airecruiter.co/blog/entry-level-hiring-collapse-ai-2026","up from +1.6% projected the previous fall"
"hiring-managers-preferring-ai-tools-over","Hiring managers preferring AI tools over training a 2026 grad","48","%","48%","2026","AI in Hiring","reported","A vendor survey of a self-selected panel: read as expressed attitude, not measured hiring behavior.","PR Newswire","ResumeTemplates.com Survey: Nearly Half of Hiring Managers Will Train AI Instead of Hiring 2026 Grads","https://www.prnewswire.com/news-releases/resumetemplatescom-survey-nearly-half-of-hiring-managers-will-train-ai-instead-of-hiring-2026-college-grads-302790839.html","2026","[{""id"":""pr-newswire-1s26s"",""publisher"":""PR Newswire"",""title"":""ResumeTemplates.com Survey: Nearly Half of Hiring Managers Will Train AI Instead of Hiring 2026 Grads"",""url"":""https://www.prnewswire.com/news-releases/resumetemplatescom-survey-nearly-half-of-hiring-managers-will-train-ai-instead-of-hiring-2026-college-grads-302790839.html"",""year"":""2026""}]","https://airecruiter.co/blog/entry-level-hiring-collapse-ai-2026","45% restructuring so one senior with AI does the work of multiple juniors"
"coding-share-of-claude-ai-conversations-","Coding share of Claude.ai conversations (top 10 tasks)","24","%","24%","November 2025","AI in Hiring","reported","Anthropic's own usage data (a single-vendor self-report) shows AI concentrated in exactly the routine grunt-work that made up the junior task bundle.","Anthropic","Anthropic Economic Index January 2026 Report","https://www.anthropic.com/research/anthropic-economic-index-january-2026-report","2026","[{""id"":""anthropic-12wh2"",""publisher"":""Anthropic"",""title"":""Anthropic Economic Index January 2026 Report"",""url"":""https://www.anthropic.com/research/anthropic-economic-index-january-2026-report"",""year"":""2026""}]","https://airecruiter.co/blog/entry-level-hiring-collapse-ai-2026","'Modifying software to correct errors' alone is ~10% of enterprise API usage."
"rejected-applications-in-the-workday-col","Rejected applications in the Workday collective","1.1","B","1.1B","2025 court filings","Candidate Trust","reported","The universe of rejections Workday represented to the court defines the scale of the nationwide collective, an order of magnitude no single-employer case has approached.","Proskauer (Law and the Workplace)","AI Bias Lawsuit Against Workday Reaches Next Stage as Court Grants Conditional Certification of ADEA Claim","https://www.lawandtheworkplace.com/2025/06/ai-bias-lawsuit-against-workday-reaches-next-stage-as-court-grants-conditional-certification-of-adea-claim","2025","[{""id"":""proskauer-law-and-the-workplace-1gaab"",""publisher"":""Proskauer (Law and the Workplace)"",""title"":""AI Bias Lawsuit Against Workday Reaches Next Stage as Court Grants Conditional Certification of ADEA Claim"",""url"":""https://www.lawandtheworkplace.com/2025/06/ai-bias-lawsuit-against-workday-reaches-next-stage-as-court-grants-conditional-certification-of-adea-claim"",""year"":""2025""}]","https://airecruiter.co/blog/ai-hiring-liability-mobley-workday-2026","an order of magnitude no single-employer case has ever approached"
"ai-in-recruitment-market-size","AI-in-HR market size","5","$B","$5B","2025","Recruiting Tech Market","modeled","Grand View Research's sizing of the broader AI-in-HR market on its path to $15.24B by 2030, the scale that makes vendor liability a systemic rather than isolated concern.","Grand View Research","Artificial Intelligence In HR Market Size & Share Report, 2030","https://www.grandviewresearch.com/industry-analysis/artificial-intelligence-hr-market-report","","[{""id"":""grand-view-research-ai-hr"",""publisher"":""Grand View Research"",""title"":""Artificial Intelligence In HR Market Size & Share Report, 2030"",""url"":""https://www.grandviewresearch.com/industry-analysis/artificial-intelligence-hr-market-report""}]","https://airecruiter.co/blog/ai-hiring-liability-mobley-workday-2026","on a 24.8% CAGR from a 2023 base of $3.25B to $15.24B by 2030"
"ai-in-recruitment-market-cagr-to-2030","AI-in-HR market CAGR to 2030","24.8","%","24.8%","2024-2030 (projected)","Recruiting Tech Market","modeled","Grand View Research's headline 24.8% CAGR for the broader AI-in-HR market through 2030, measured from its 2023 base of $3.25B.","Grand View Research","Artificial Intelligence In HR Market Size & Share Report, 2030","https://www.grandviewresearch.com/industry-analysis/artificial-intelligence-hr-market-report","","[{""id"":""grand-view-research-ai-hr"",""publisher"":""Grand View Research"",""title"":""Artificial Intelligence In HR Market Size & Share Report, 2030"",""url"":""https://www.grandviewresearch.com/industry-analysis/artificial-intelligence-hr-market-report""}]","https://airecruiter.co/blog/ai-hiring-liability-mobley-workday-2026",""
"hr-leaders-planning-to-deploy-agentic-ai","HR leaders planning to deploy agentic AI in HR","82","%","82%","May 2026 (planned)","AI in Hiring","reported","A steep forward indicator of agentic AI adoption in HR that makes vendor-side liability systemic.","Gartner","Gartner Says AI Revolution and Cost Pressures Are Two Forces Driving the Top Four Trends for Talent Acquisition in 2026","https://www.gartner.com/en/newsroom/press-releases/2025-10-07-gartner-says-ai-revolution-and-cost-pressures-are-two-forces-driving-the-top-four-trends-for-talent-acquisition-in-2026","2025","[{""id"":""gartner-ldpj8"",""publisher"":""Gartner"",""title"":""Gartner Says AI Revolution and Cost Pressures Are Two Forces Driving the Top Four Trends for Talent Acquisition in 2026"",""url"":""https://www.gartner.com/en/newsroom/press-releases/2025-10-07-gartner-says-ai-revolution-and-cost-pressures-are-two-forces-driving-the-top-four-trends-for-talent-acquisition-in-2026"",""year"":""2025""}]","https://airecruiter.co/blog/ai-hiring-liability-mobley-workday-2026",""
"audited-ai-systems-clearing-four-fifths-","Audited AI systems clearing four-fifths impact ratio","85","%","85%","May 2026","AI in Hiring","reported","Vendor self-reported audit data: most audited AI systems clear the 0.8 four-fifths threshold, but 15% fail at least one demographic test.","Warden AI","AI Bias in Hiring: What 150+ Bias Audits Reveal","https://www.warden-ai.com/resources/bias-audits-hiring","2026","[{""id"":""warden-ai-ucqpl"",""publisher"":""Warden AI"",""title"":""AI Bias in Hiring: What 150+ Bias Audits Reveal"",""url"":""https://www.warden-ai.com/resources/bias-audits-hiring"",""year"":""2026""}]","https://airecruiter.co/blog/ai-hiring-liability-mobley-workday-2026","15% failed at least one demographic threshold"
"hr-tech-vendors-with-independent-third-p","HR-tech vendors with independent third-party audit","45","%","45%","May 2026","AI in Hiring","reported","Independent, court-defensible auditing is the exception; internal testing is far more common than the audit trail a court will demand.","Warden AI","AI Bias in Hiring: What 150+ Bias Audits Reveal","https://www.warden-ai.com/resources/bias-audits-hiring","2026","[{""id"":""warden-ai-ucqpl"",""publisher"":""Warden AI"",""title"":""AI Bias in Hiring: What 150+ Bias Audits Reveal"",""url"":""https://www.warden-ai.com/resources/bias-audits-hiring"",""year"":""2026""}]","https://airecruiter.co/blog/ai-hiring-liability-mobley-workday-2026","just 20% meet all four responsible-AI practices"
"bias-audits-that-test-for-age-discrimina","Bias audits that test for age discrimination","5","%","5%","May 2026","AI in Hiring","reported","Age, the protected class litigated in Mobley, is tested in only 5% of audits, the exact gap plaintiffs exploit.","Warden AI","AI Bias in Hiring: What 150+ Bias Audits Reveal","https://www.warden-ai.com/resources/bias-audits-hiring","2026","[{""id"":""warden-ai-ucqpl"",""publisher"":""Warden AI"",""title"":""AI Bias in Hiring: What 150+ Bias Audits Reveal"",""url"":""https://www.warden-ai.com/resources/bias-audits-hiring"",""year"":""2026""}]","https://airecruiter.co/blog/ai-hiring-liability-mobley-workday-2026","vs 100% coverage for sex and race/ethnicity"
"ai-models-favoring-white-associated-name","AI models favoring white-associated names","85","%","85%","2024","AI in Hiring","verified","University of Washington study of over 3 million resume-job comparisons found leading text-embedding models favored white-associated names 85% of the time.","University of Washington","UW research finds racial and gender bias in AI tools ranking job applicants' names","https://www.washington.edu/populationhealth/2024/12/12/uw-research-finds-racial-and-gender-bias-in-ai-tools-ranking-job-applicants-names","2024","[{""id"":""university-of-washington-1r4hd"",""publisher"":""University of Washington"",""title"":""UW research finds racial and gender bias in AI tools ranking job applicants' names"",""url"":""https://www.washington.edu/populationhealth/2024/12/12/uw-research-finds-racial-and-gender-bias-in-ai-tools-ranking-job-applicants-names"",""year"":""2024""}]","https://airecruiter.co/blog/ai-hiring-liability-mobley-workday-2026","female-associated names favored only 11% of the time"
"eu-ai-act-max-fine-share-of-global-turno","EU AI Act max fine, share of global turnover","7","%","7%","2026","AI in Hiring","reported","The most serious EU AI Act violations carry a ceiling of 7% of global annual turnover, or EUR 35 million, whichever is higher.","EU AI Act explorer (Future of Life Institute)","EU AI Act, Article 99: Penalties (Regulation (EU) 2024/1689)","https://artificialintelligenceact.eu/article/99/","2024","[{""id"":""eu-ai-act-article-99-penalties"",""publisher"":""EU AI Act explorer (Future of Life Institute)"",""title"":""EU AI Act, Article 99: Penalties (Regulation (EU) 2024/1689)"",""url"":""https://artificialintelligenceact.eu/article/99/"",""year"":""2024""}]","https://airecruiter.co/blog/ai-hiring-liability-mobley-workday-2026","Or EUR 35 million, whichever is higher."
"itutorgroup-eeoc-ai-discrimination-settl","iTutorGroup EEOC AI-discrimination settlement","365000","$","$365,000","September 2023","Candidate Trust","verified","The first EEOC AI-discrimination settlement, after software was programmed to auto-reject female applicants 55+ and male applicants 60+.","EEOC","iTutorGroup to Pay $365,000 to Settle EEOC Discriminatory Hiring Suit","https://www.eeoc.gov/newsroom/itutorgroup-pay-365000-settle-eeoc-discriminatory-hiring-suit","2023","[{""id"":""eeoc-i4xt5"",""publisher"":""EEOC"",""title"":""iTutorGroup to Pay $365,000 to Settle EEOC Discriminatory Hiring Suit"",""url"":""https://www.eeoc.gov/newsroom/itutorgroup-pay-365000-settle-eeoc-discriminatory-hiring-suit"",""year"":""2023""}]","https://airecruiter.co/blog/ai-hiring-liability-mobley-workday-2026",""
"saferent-tenant-screening-algorithm-sett","SafeRent tenant-screening algorithm settlement","2","$M","$2M","2024","Candidate Trust","verified","SafeRent settled a tenant-screening disparate-impact case for over $2 million, the structural template the hiring bar watches for algorithmic scoring claims.","Quinn Emanuel","When Machines Discriminate: The Rise of AI Bias Lawsuits","https://www.quinnemanuel.com/the-firm/publications/when-machines-discriminate-the-rise-of-ai-bias-lawsuits","2024","[{""id"":""quinn-emanuel-6v4fd"",""publisher"":""Quinn Emanuel"",""title"":""When Machines Discriminate: The Rise of AI Bias Lawsuits"",""url"":""https://www.quinnemanuel.com/the-firm/publications/when-machines-discriminate-the-rise-of-ai-bias-lawsuits"",""year"":""2024""}]","https://airecruiter.co/blog/ai-hiring-liability-mobley-workday-2026",""
"warden-ai-seed-round-on-mobley-driven-au","Warden AI total funding on Mobley-driven audit demand","1.6","$M","$1.6M","July 2025","Recruiting Tech Market","reported","The bias-assurance layer is monetizing the exact liability the Mobley litigation created; Warden raised on surging independent-audit demand.","Tech Funding News","Warden AI funding HR AI compliance Workday lawsuit","https://techfundingnews.com/warden-ai-funding-hr-ai-compliance-workday-lawsuit","2025","[{""id"":""tech-funding-news-ha9xq"",""publisher"":""Tech Funding News"",""title"":""Warden AI funding HR AI compliance Workday lawsuit"",""url"":""https://techfundingnews.com/warden-ai-funding-hr-ai-compliance-workday-lawsuit"",""year"":""2025""}]","https://airecruiter.co/blog/ai-hiring-liability-mobley-workday-2026","total funding to date, at a $10M valuation"
"workday-fy2026-operating-cash-flow","Workday FY2026 operating cash flow","2.939","$B","$2.939B","FY2026 (ended Jan 31, 2026)","Recruiting Tech Market","verified","Workday's audited balance sheet shows it can fund a multi-year Mobley defense, but also makes it the deepest-pocketed defendant the employment-AI bar has ever had.","SEC","Workday Form 8-K (Exhibit 99.1)","https://www.sec.gov/Archives/edgar/data/0001327811/000132781126000010/wday-01312026x991.htm","2026","[{""id"":""sec-1lvp2"",""publisher"":""SEC"",""title"":""Workday Form 8-K (Exhibit 99.1)"",""url"":""https://www.sec.gov/Archives/edgar/data/0001327811/000132781126000010/wday-01312026x991.htm"",""year"":""2026""}]","https://airecruiter.co/blog/ai-hiring-liability-mobley-workday-2026","up 19.4% year over year"
"minutes-to-build-a-live-interview-deepfa","Minutes to build a live-interview deepfake","70","","70","2026","Candidate Trust","verified","A Palo Alto Networks Unit 42 researcher with no image-manipulation experience built a real-time deepfake synthetic identity able to pass a live video interview in 70 minutes, on a five-year-old consumer GPU with free tools.","Unit 42","North Korean Synthetic Identity Creation","https://unit42.paloaltonetworks.com/north-korean-synthetic-identity-creation","","[{""id"":""unit-42-11sql"",""publisher"":""Unit 42"",""title"":""North Korean Synthetic Identity Creation"",""url"":""https://unit42.paloaltonetworks.com/north-korean-synthetic-identity-creation""}]","https://airecruiter.co/blog/hiring-fraud-deepfake-verification-stack-2026","70 minutes, no experience, free tools, five-year-old GPU"
"managers-who-confirmed-a-proxy-in-a-virt","Managers who confirmed a proxy in a virtual interview","35","%","35%","2025","Candidate Trust","reported","In Checkr's survey of 3,000 managers, more than a third confirmed someone other than the applicant took part in a virtual interview, a direct measure of the proxy problem.","Checkr","The Hiring Hoax: What 3,000 Managers Revealed about Hiring Fraud","https://checkr.com/resources/articles/hiring-hoax-manager-survey-2025","","[{""id"":""checkr-1b467"",""publisher"":""Checkr"",""title"":""The Hiring Hoax: What 3,000 Managers Revealed about Hiring Fraud"",""url"":""https://checkr.com/resources/articles/hiring-hoax-manager-survey-2025""}]","https://airecruiter.co/blog/hiring-fraud-deepfake-verification-stack-2026","31% interviewed a fake identity; 23% lost >$50K"
"managers-who-say-job-seekers-now-out-fak","Managers who say job seekers now out-fake HR's detection","62","%","62%","2025","Candidate Trust","reported","The confidence gap is the core selling point of the whole verification category: managers believe candidates are better at faking than HR is at catching, and only 19% were extremely confident they could catch a fraud.","Checkr","The Hiring Hoax: What 3,000 Managers Revealed about Hiring Fraud","https://checkr.com/resources/articles/hiring-hoax-manager-survey-2025","","[{""id"":""checkr-1b467"",""publisher"":""Checkr"",""title"":""The Hiring Hoax: What 3,000 Managers Revealed about Hiring Fraud"",""url"":""https://checkr.com/resources/articles/hiring-hoax-manager-survey-2025""}]","https://airecruiter.co/blog/hiring-fraud-deepfake-verification-stack-2026","vs only 19% extremely confident they could catch it"
"hiring-managers-who-encountered-suspecte","Recruiters who spotted candidate deception","91","%","91%","2025","Candidate Trust","reported","A 2025 Greenhouse survey found 91% of recruiters have spotted candidate deception of some kind, while 65% of hiring managers have caught applicants using AI deceptively (scripts, prompt injections, deepfakes).","Greenhouse","An AI Trust Crisis: 70% of Hiring Managers Trust AI, Only 8% of Job Seekers Call It Fair","https://www.greenhouse.com/newsroom/an-ai-trust-crisis-70-of-hiring-managers-trust-ai-to-make-faster-and-better-hiring-decisions-only-8-of-job-seekers-call-it-fair","","[{""id"":""greenhouse-thiwf"",""publisher"":""Greenhouse"",""title"":""An AI Trust Crisis: 70% of Hiring Managers Trust AI, Only 8% of Job Seekers Call It Fair"",""url"":""https://www.greenhouse.com/newsroom/an-ai-trust-crisis-70-of-hiring-managers-trust-ai-to-make-faster-and-better-hiring-decisions-only-8-of-job-seekers-call-it-fair""}]","https://airecruiter.co/blog/hiring-fraud-deepfake-verification-stack-2026",""
